arquivo,aba,linha,embarcacao,numeroSerie,marca,modelo,capacidade,tipoPack,dataFabrico,armador,dataInspecao,observacao,raw
AZ25-001 NANCI MARIA.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-001 NANCI MARIA.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,2023-09-01,, | Cylinder CO2 |  | Emergency Pack Type |  | SIMPL. REDUZ. |  |  |  | 09/23 | 2023-09-01 00:00:00 |  |  |  | 
AZ25-001 NANCI MARIA.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-001 NANCI MARIA.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 201 | 199 | 0.00995024875621886 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-001 NANCI MARIA.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  | #DIV/0! | DATA FABRICO: | 08/2006 |  |  |  |  |  |  |  | 
AZ25-001 NANCI MARIA.xlsx,QUADRO,81,,,,,,,,,2025-01-02,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-01-02 00:00:00 | Assinatura: | JULIO CORREA |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-01-07,, |  | Emengency pack: |  |  |  | R |  | 5017330300330 |  | 2026-01-07 00:00:00 |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,47,,,,,,,,,2025-01-07,, |  | 2025-01-07 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-01-07 00:00:00 |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,CERTIFICADO,81,,,,,,,,,2022-01-14,, |  |  |  |  | 2022-01-14 00:00:00 |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5017330300330 | NAVIO: | MESTRE MIGUEL |  | MARCA/MODELO: | RFD SEASAVA PLUS R |  | 8 |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | R |  |  |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 201 | 198 | 0.0149253731343284 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  |  | DATA FABRICO: | 08-08-2018 |  |  |  |  |  |  |  | 
AZ25-002 MESTRE MIGUEL.xlsx,QUADRO,81,,,,,,,,,2025-01-07,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-01-07 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,9,,,,,,,,,2023-03-01,, |  |  |  |  |  |  |  |  | 2023-03-01 00:00:00 |  |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,13,,,,,,,,,2023-03-01,, |  | Fabric type: |  |  |  | Length of painter: |  |  | 2023-03-01 00:00:00 | Max stowage height: |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,15,,,,,,,,,2024-01-01,, |  | PU |  |  |  | 28 | m/inside | 1 | 2024-01-01 00:00:00 | 18 |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  |  |  | Latest hyd. Test |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,23,,,,,,,,,2024-08-01,, |  |  |  |  | 2024-08-01 00:00:00 |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,25,,,,,,,,,2024-08-01,,Equipamento: |  |  |  |  | 2024-08-01 00:00:00 | Tipo |  | No. Série |  | Validade |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-01-07,, |  | Emengency pack: |  |  |  | SOLAS B |  | 5086210101268 |  | 2026-01-07 00:00:00 |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,29,,,,,,,,,2024-08-01,, |  | 2024-08-01 00:00:00 |  |  |  |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,47,,,,,,,,,2025-01-07,, |  | 2025-01-07 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-01-07 00:00:00 |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,79,,,,,,,,,2009-05-01,, |  |  |  |  |  | 2009-05-01 00:00:00 |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,CERTIFICADO,81,,,,,,,,,2022-01-13,, |  |  |  |  | 2022-01-13 00:00:00 |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5086210101268 | NAVIO: | CECILIA A |  | MARCA/MODELO: | RFD SURVIVA MKIV |  | 20 |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,9,,,,,,,,,2023-03-01,, |  |  |  |  |  |  |  |  | 2023-03-01 00:00:00 |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  | (1) | 02/28 |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | SOLAS B |  |  |  | 01/25 |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 210 | 205 | 0.023809523809523836 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  | #DIV/0! | DATA FABRICO: | 05/2009 |  |  |  |  |  |  |  | 
AZ25-003 CECILIA A.xlsx,QUADRO,81,,,,,,,,,2025-01-07,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-01-07 00:00:00 | Assinatura: | JULIO CORREA |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-01-10,, |  | Emengency pack: |  |  |  | MIN |  | 5017330300334 |  | 2026-01-10 00:00:00 |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,47,,,,,,,,,2025-01-10,, |  | 2025-01-10 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-01-10 00:00:00 |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,CERTIFICADO,81,,,,,,,,,2023-01-27,, |  |  |  |  | 2023-01-27 00:00:00 |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5017330300334 | NAVIO: | ANA BEATRIZ |  | MARCA/MODELO: | RFD SEASAVA |  | 8 |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | MIN |  |  |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 98.7 | 96.5 | 0.02228976697061802 | Notas                                                                 Remarks | (1) HAMMAR |  |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  |  | DATA FABRICO: | 18-04-2019 |  |  |  |  |  |  |  | 
AZ25-004 ANA BEATRIZ.xlsx,QUADRO,81,,,,,,,,,2025-01-10,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-01-10 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,12,,,,,,,,,01/11/2022,, |  | RFD SEASAVA |  |  |  | 8 |  | 5017330300359 |  | 01/11/2022 |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-01-13,, |  | Emengency pack: |  |  |  | MIN |  | 5017330300359 |  | 2026-01-13 00:00:00 |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,47,,,,,,,,,2025-01-13,, |  | 2025-01-13 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-01-13 00:00:00 |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5017330300359 | NAVIO: | PÃO DE CRISTO |  | MARCA/MODELO: | RFD SEASAVA |  | 8 |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | MIN |  |  |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 89.2 | 88.5 | 0.007847533632287074 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,01/11/2022,, | Rampa |  |  |  | DATA FABRICO: | 01/11/2022 |  |  |  |  |  |  |  | 
AZ25-005 PÃO DE CRISTO.xlsx,QUADRO,81,,,,,,,,,2025-01-13,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-01-13 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,,, |  | Emengency pack: |  |  |  | SOLAS B |  | 52813 |  | 10/2024 |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,47,,,,,,,,,2023-10-30,, |  | 2023-10-30 00:00:00 |  |  |  | OREY |  |  |  | 2024-10-30 00:00:00 |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  |  |  |  | 
AZ25-006 ESPIRITO SANTO.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-01-15,, |  | Emengency pack: |  |  |  | MIN |  | 5017330300324 |  | 2026-01-15 00:00:00 |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,47,,,,,,,,,2025-01-15,, |  | 2025-01-15 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-01-15 00:00:00 |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5017330300324 | NAVIO: | ISAC VENDEIRO |  | MARCA/MODELO: | RFD SEASAVA |  | 8 |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,19,,,,,,,,,2024-04-01,, | Identificatior card / tube |  | Tubes and Floor Fabric |  |  | Handflares |  |  | 04/2027 |  | 2024-04-01 00:00:00 |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | MIN |  |  |  |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 97.5 | 96.4 | 0.011282051282051175 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  |  | DATA FABRICO: | 23-02-2017 |  |  |  |  |  |  |  | 
AZ25-007 ISAC VENDEIRO.xlsx,QUADRO,81,,,,,,,,,2025-01-15,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-01-15 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,12,,,,,,,,,2021-07-15,, |  | RFD SURVIVA MKIV |  |  |  | 8 |  | 5085810204307 |  | 2021-07-15 |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,25,,,,,,,,,2020-11-01,,Equipamento: |  |  |  |  | 2020-11-01 00:00:00 | Tipo |  | No. Série |  | Validade |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-01-03,, |  | Emengency pack: |  |  |  | SOLAS A |  | 5085810204307 |  | 2026-01-03 00:00:00 |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,29,,,,,,,,,2020-11-01,, |  | 2020-11-01 00:00:00 |  |  |  |  |  |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,47,,,,,,,,,2025-01-03,, |  | 2025-01-03 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-01-03 00:00:00 |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,CERTIFICADO,81,,,,,,,,,2019-11-30,, |  |  |  |  | 2019-11-30 00:00:00 |  |  |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5085810204307 | NAVIO: | CORAL DA HORTA |  | MARCA/MODELO: | RFD SURVIVA MKIV |  | 8 |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  | 09/24 |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | SOLAS A |  |  |  |  |  |  |  |  | 
AZ25-008 CORAL DA HORTA.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
